EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-11-1,59,50,40,49,45,38,92,77,63,30.38,30.33,30.29,10,10,10,10,3,,0.00,6,,166
2016-11-2,74,61,49,60,54,48,100,86,59,30.32,30.26,30.16,10,10,8,8,4,,0.00,4,,183
2016-11-3,81,68,57,59,57,53,97,70,43,30.15,30.02,29.96,10,10,8,15,6,,0.00,3,,284
2016-11-4,62,52,40,48,40,34,78,56,39,30.30,30.19,30.01,10,10,10,16,10,,0.00,1,,346
2016-11-5,65,52,38,41,37,33,84,60,36,30.37,30.30,30.25,10,10,10,10,5,,0.00,0,,277
2016-11-6,66,56,46,41,35,28,68,48,24,30.39,30.30,30.25,10,10,10,21,11,24,0.00,0,,325
2016-11-7,56,46,35,34,31,29,85,61,34,30.52,30.44,30.36,10,10,5,9,6,,0.00,0,,20
2016-11-8,68,51,34,42,36,30,94,60,25,30.35,30.18,29.98,10,10,10,8,2,,0.00,0,,238
2016-11-9,60,55,50,54,49,39,100,81,61,30.03,29.90,29.83,10,10,6,21,7,23,0.13,5,Rain,302
2016-11-10,59,50,41,38,34,32,72,56,38,30.14,30.03,29.86,10,10,10,22,12,,0.00,1,,287
2016-11-11,62,51,40,39,34,26,79,49,36,30.22,29.95,29.82,10,10,10,18,10,,0.00,0,,303
2016-11-12,50,40,30,27,24,22,85,56,33,30.44,30.34,30.25,10,10,10,13,8,,0.00,0,,320
2016-11-13,61,45,29,30,26,21,85,53,21,30.30,30.23,30.15,10,10,10,9,5,,0.00,0,,240
2016-11-14,55,42,29,38,31,26,89,58,35,30.14,30.05,29.95,10,10,10,7,3,,0.00,3,Rain,292
2016-11-15,61,54,43,41,36,23,77,58,23,29.96,29.90,29.84,10,10,10,9,6,,0.00,5,,297
2016-11-16,63,50,37,49,39,34,96,69,36,29.99,29.90,29.83,10,9,2,15,6,18,0.04,2,Rain,257
2016-11-17,59,50,38,42,38,35,90,68,42,30.16,30.10,30.00,10,10,10,15,6,,0.00,0,,305
2016-11-18,70,52,35,43,39,32,93,66,35,30.22,30.14,30.06,10,10,6,6,2,,0.00,0,,255
2016-11-19,72,56,39,49,38,22,93,63,38,30.04,29.88,29.69,10,10,10,31,11,45,0.53,2,Rain,240
2016-11-20,44,40,35,24,19,16,57,44,35,29.91,29.88,29.83,10,10,10,31,21,43,3.86,2,,285
2016-11-21,43,38,34,15,14,11,45,38,27,30.10,29.99,29.90,10,10,10,23,17,37,0.00,1,,291
2016-11-22,48,40,32,20,17,15,57,41,29,30.34,30.22,30.10,10,10,10,17,12,25,0.00,0,,294
2016-11-23,51,38,26,34,22,16,76,51,24,30.39,30.32,30.27,10,10,10,8,5,,0.00,2,,279